date,station,TAVG_file1,TMAX_file1,TMIN_file1,AWND,DAPR,MDPR,PGTM,PRCP,SNOW,SNWD,TAVG_file2,TMAX_file2,TMIN_file2,TOBS,TSUN,WDF2,WDF5,WESD,WESF,WSF2,WSF5,WT01,WT02,WT03,WT04,WT05,WT06,WT08,WT09,WT11,name,latitude,longitude,elevation
2018-10-15,GHCND:USW00014732,15.8,21.1,12.8,4.9,,,,1.0,0.0,0.0,15.8,21.1,12.8,,,290.0,300.0,,,13.0,18.3,1.0,,,,,,,,,"LAGUARDIA AIRPORT, NY US",40.77944,-73.88035,3.4
2018-10-16,GHCND:USW00014732,14.3,16.7,9.4,5.8,,,,0.5,0.0,0.0,14.3,16.7,9.4,,,300.0,300.0,,,13.4,17.9,,,,,,,,,,"LAGUARDIA AIRPORT, NY US",40.77944,-73.88035,3.4
2018-10-17,GHCND:USW00014732,13.2,17.8,8.9,7.2,,,,0.0,0.0,0.0,13.2,17.8,8.9,,,310.0,260.0,,,13.0,16.5,,,,,,,,,,"LAGUARDIA AIRPORT, NY US",40.77944,-73.88035,3.4
2018-10-18,GHCND:USW00014732,9.6,11.7,6.7,6.6,,,,0.0,0.0,0.0,9.6,11.7,6.7,,,320.0,320.0,,,10.7,15.2,,,,,,,,,,"LAGUARDIA AIRPORT, NY US",40.77944,-73.88035,3.4
2018-10-19,GHCND:USW00014732,11.3,17.2,7.2,4.9,,,,0.0,0.0,0.0,11.3,17.2,7.2,,,210.0,200.0,,,9.4,13.9,,,,,,,,,,"LAGUARDIA AIRPORT, NY US",40.77944,-73.88035,3.4
2018-10-20,GHCND:USW00014732,15.0,18.3,12.2,5.2,,,,1.8,0.0,0.0,15.0,18.3,12.2,,,310.0,260.0,,,9.4,12.1,,,,,,,,,,"LAGUARDIA AIRPORT, NY US",40.77944,-73.88035,3.4
2018-10-21,GHCND:USW00014732,10.7,12.2,6.1,8.2,,,,0.0,0.0,0.0,10.7,12.2,6.1,,,330.0,330.0,,,15.7,19.2,,,,,,,,,,"LAGUARDIA AIRPORT, NY US",40.77944,-73.88035,3.4
2018-10-22,GHCND:USW00014732,8.3,11.1,5.6,4.3,,,,0.0,0.0,0.0,8.3,11.1,5.6,,,250.0,260.0,,,7.6,9.8,,,,,,,,,,"LAGUARDIA AIRPORT, NY US",40.77944,-73.88035,3.4
2018-10-23,GHCND:USW00014732,12.6,19.4,8.3,4.8,,,,0.0,0.0,0.0,12.6,19.4,8.3,,,300.0,300.0,,,11.6,14.8,,,,,,,,,,"LAGUARDIA AIRPORT, NY US",40.77944,-73.88035,3.4
2018-10-24,GHCND:USW00014732,11.0,13.3,7.8,8.1,,,,0.0,0.0,0.0,11.0,13.3,7.8,,,290.0,290.0,,,13.0,15.2,,,,,,,,,,"LAGUARDIA AIRPORT, NY US",40.77944,-73.88035,3.4
2018-10-25,GHCND:USW00014732,8.8,11.1,6.1,6.6,,,,0.0,0.0,0.0,8.8,11.1,6.1,,,300.0,300.0,,,9.8,13.0,,,,,,,,,,"LAGUARDIA AIRPORT, NY US",40.77944,-73.88035,3.4
2018-10-26,GHCND:USW00014732,7.3,10.0,5.6,3.4,,,,0.0,0.0,0.0,7.3,10.0,5.6,,,70.0,80.0,,,7.6,10.3,,,,,,,,,,"LAGUARDIA AIRPORT, NY US",40.77944,-73.88035,3.4
2018-10-27,GHCND:USW00014732,9.4,11.7,7.2,10.0,,,,25.7,0.0,0.0,9.4,11.7,7.2,,,50.0,50.0,,,18.3,22.4,1.0,,,,,,,,,"LAGUARDIA AIRPORT, NY US",40.77944,-73.88035,3.4
2018-10-28,GHCND:USW00014732,10.2,12.2,8.3,4.2,,,,1.3,0.0,0.0,10.2,12.2,8.3,,,260.0,270.0,,,7.6,9.4,1.0,,,,,,,,,"LAGUARDIA AIRPORT, NY US",40.77944,-73.88035,3.4
2018-10-29,GHCND:USW00014732,11.8,14.4,9.4,5.7,,,,0.8,0.0,0.0,11.8,14.4,9.4,,,300.0,250.0,,,9.8,13.0,,,,,,,,,,"LAGUARDIA AIRPORT, NY US",40.77944,-73.88035,3.4
2018-10-30,GHCND:USW00014732,10.2,13.9,7.2,5.6,,,,0.0,0.0,0.0,10.2,13.9,7.2,,,310.0,310.0,,,9.8,12.5,,,,,,,,,,"LAGUARDIA AIRPORT, NY US",40.77944,-73.88035,3.4
2018-10-31,GHCND:USW00014732,12.6,17.8,7.2,3.6,,,,0.0,0.0,0.0,12.6,17.8,7.2,,,170.0,160.0,,,9.8,12.5,,,,,,,,,,"LAGUARDIA AIRPORT, NY US",40.77944,-73.88035,3.4
2018-01-01,GHCND:US1CTFR0039,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,"STAMFORD 4.2 S, CT US",41.0377883911133,-73.5681762695313,6.4
2018-01-01,GHCND:US1NJBG0015,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"NORTH ARLINGTON 0.7 WNW, NJ US",40.791492,-74.13979,17.7
2018-01-01,GHCND:US1NJBG0017,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,"GLEN ROCK 0.7 SSE, NJ US",40.95109,-74.118264,28.0
2018-01-01,GHCND:US1NJBG0018,,,,,,,,0.0,0.0,3.0,,,,,,,,,,,,,,,,,,,,,"PALISADES PARK 0.2 WNW, NJ US",40.848094,-74.000247,21.3
2018-01-01,GHCND:US1NJBG0023,,,,,,,,0.0,0.0,25.0,,,,,,,,,,,,,,,,,,,,,"OAKLAND 0.9 SSE, NJ US",41.01905,-74.233383,149.4
2018-01-01,GHCND:US1NJBG0030,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,"OAKLAND 1.0 ESE, NJ US",41.025324,-74.223632,109.4
2018-01-01,GHCND:US1NJBG0039,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"RIVER EDGE 0.4 NNE, NJ US",40.932076,-74.035372,23.2
2018-01-01,GHCND:US1NJBG0044,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,"TENAFLY 1.6 NW, NJ US",40.93188,-73.97818,43.9
2018-01-01,GHCND:US1NJES0018,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"MAPLEWOOD TWP 0.9 SE, NJ US",40.724466,-74.259542,72.5
2018-01-01,GHCND:US1NJES0024,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,"CEDAR GROVE TWP 0.4 W, NJ US",40.855695,-74.235564,108.5
2018-01-01,GHCND:US1NJMD0043,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"WOODBRIDGE TWP 1.1 ESE, NJ US",40.5554,-74.274,4.0
2018-01-01,GHCND:US1NJMD0045,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"WOODBRIDGE TWP 1.1 NNE, NJ US",40.5759108,-74.2846869,21.6
2018-01-01,GHCND:US1NJMD0062,,,,,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,"OLD BRIDGE TWP 5.1 NE, NJ US",40.45623,-74.241325,7.6
2018-01-01,GHCND:US1NJMD0066,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,"SOUTH PLAINFIELD 0.7 NNE, NJ US",40.583541,-74.410003,22.3
2018-01-01,GHCND:US1NJMD0070,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"NEW BRUNSWICK 1.8 E, NJ US",40.484742,-74.41031,19.2
2018-01-01,GHCND:US1NJMD0073,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,"CARTERET 0.6 WSW, NJ US",40.581743,-74.238792,9.1
2018-01-01,GHCND:US1NJMD0074,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,"HIGHLAND PARK 0.5 E, NJ US",40.50039,-74.41942,36.3
2018-01-01,GHCND:US1NJMN0010,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"EATONTOWN 1.2 NE, NJ US",40.3034,-74.040017,12.8
2018-01-01,GHCND:US1NJMN0012,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"COLTS NECK TWP 2.4 NW, NJ US",40.320403,-74.19268,32.6
2018-01-01,GHCND:US1NJMN0048,,,,,,,,0.0,0.0,13.0,,,,,,,,,,,,,,,,,,,,,"LONG BRANCH 0.5 W, NJ US",40.296952,-74.00151,7.9
2018-01-01,GHCND:US1NJMN0069,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"LONG BRANCH 1.7 SSW, NJ US",40.2753677368164,-74.0060272216797,9.4
2018-01-01,GHCND:US1NJMS0011,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"BOONTON 0.6 NW, NJ US",40.909623,-74.414145,188.7
2018-01-01,GHCND:US1NJMS0040,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"CHATHAM 0.6 NW, NJ US",40.748131,-74.390791,58.8
2018-01-01,GHCND:US1NJMS0049,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"FLORHAM PARK 0.2 WNW, NJ US",40.77797,-74.3992,62.5
2018-01-01,GHCND:US1NJMS0059,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,"MADISON 0.8 WSW, NJ US",40.7523914426565,-74.4297203421593,108.8
2018-01-01,GHCND:US1NJMS0089,,,,,,,,0.0,0.0,13.0,,,,,,,,,0.0,,,,,,,,,,,,"PARSIPPANY TROY HILLS TWP 1.3 NE, NJ US",40.871646,-74.405465,103.6
2018-01-01,GHCND:US1NJPS0005,,,,,,,,0.0,0.0,10.0,,,,,,,,,0.0,,,,,,,,,,,,"HAWTHORNE 0.4 S, NJ US",40.951692,-74.157339,24.4
2018-01-01,GHCND:US1NJPS0012,,,,,,,,0.0,0.0,13.0,,,,,,,,,,,,,,,,,,,,,"LITTLE FALLS TWP 0.5 WNW, NJ US",40.879633,-74.227041,58.5
2018-01-01,GHCND:US1NJPS0014,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,"HAWTHORNE 1.0 SSE, NJ US",40.9436378,-74.1522675,18.0
2018-01-01,GHCND:US1NJPS0022,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"RINGWOOD 3.0 SSE, NJ US",41.065332,-74.2571509,185.9
2018-01-01,GHCND:US1NJPS0025,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"BLOOMINGDALE 0.7 SSE, NJ US",41.020218,-74.3289,110.3
2018-01-01,GHCND:US1NJUN0003,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"LINDEN 2.2 NW, NJ US",40.64121,-74.272595,19.8
2018-01-01,GHCND:US1NJUN0010,,,,,,,,0.0,0.0,13.0,,,,,,,,,,,,,,,,,,,,,"NEW PROVIDENCE 0.8 ESE, NJ US",40.6945,-74.3898,113.1
2018-01-01,GHCND:US1NJUN0014,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,"WESTFIELD 0.6 NE, NJ US",40.658817,-74.335804,36.3
2018-01-01,GHCND:US1NJUN0017,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"CRANFORD TWP 1.1 NNW, NJ US",40.672178,-74.309574,21.9
2018-01-01,GHCND:US1NYKN0025,,,,,,,,0.0,0.0,,,,,,,,,,0.0,,,,,,,,,,,,"BROOKLYN 3.1 NW, NY US",40.6846,-73.9867,5.5
2018-01-01,GHCND:US1NYNS0007,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"FLORAL PARK 0.4 W, NY US",40.7229996,-73.7109985,24.1
2018-01-01,GHCND:US1NYNS0014,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,"LYNBROOK 0.3 NW, NY US",40.662285,-73.677957,7.0
2018-01-01,GHCND:US1NYNS0024,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"NORTH WANTAGH 0.4 WSW, NY US",40.697201,-73.51598,14.9
2018-01-01,GHCND:US1NYNS0027,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,"PORT WASHINGTON 0.8 N, NY US",40.839167,-73.68025,52.1
2018-01-01,GHCND:US1NYNS0030,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,"PLAINEDGE 0.4 WSW, NY US",40.721382,-73.484241,22.9
2018-01-01,GHCND:US1NYNS0034,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"WANTAGH 0.3 ESE, NY US",40.666824,-73.505371,4.3
2018-01-01,GHCND:US1NYNS0035,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"VALLEY STREAM 0.6 SE, NY US",40.657136,-73.69783,3.7
2018-01-01,GHCND:US1NYNS0036,,,,,,,,0.0,0.0,1.0,,,,,,,,,,,,,,,,,,,,,"SYOSSET 2.0 SSW, NY US",40.787036,-73.51329,54.9
2018-01-01,GHCND:US1NYNS0042,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"ALBERTSON 0.2 SSE, NY US",40.769131,-73.647484,43.3
2018-01-01,GHCND:US1NYNS0043,,,,,,,,0.0,0.0,13.0,,,,,,,,0.3,,,,,,,,,,,,,"PLAINVIEW 0.4 ENE, NY US",40.7859191894531,-73.4668731689453,56.7
2018-01-01,GHCND:US1NYNS0046,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,"MASSAPEQUA PARK 1.2 N, NY US",40.698077,-73.449893,10.7
2018-01-01,GHCND:US1NYQN0002,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,"MIDDLE VILLAGE 0.5 SW, NY US",40.714521,-73.881893,32.3
2018-01-01,GHCND:US1NYQN0027,,,,,,,,0.0,,13.0,,,,,,,,0.5,,,,,,,,,,,,,"QUEENS 3.4 NNW, NY US",40.778064,-73.810581,18.0
2018-01-01,GHCND:US1NYRL0005,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,"WEST NYACK 1.3 WSW, NY US",41.0835456848145,-73.9930267333984,81.7
2018-01-01,GHCND:US1NYSF0061,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"CENTERPORT 0.9 SW, NY US",40.8916893005371,-73.3831329345703,53.6
2018-01-01,GHCND:US1NYSF0062,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,"COPIAGUE 0.4 ENE, NY US",40.672621,-73.383889,3.7
2018-01-01,GHCND:US1NYSF0092,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"AMITYVILLE 0.6 NNE, NY US",40.677211,-73.410293,6.1
2018-01-01,GHCND:US1NYWC0018,,,,,,,,0.0,0.0,51.0,,,,,,,,,0.0,,,,,,,,,,,,"ARMONK 0.3 SE, NY US",41.12996,-73.708161,117.3
2018-01-01,GHCND:US1NYWC0019,,,,,,,,,25.0,25.0,,,,,,,,,,,,,,,,,,,,,"ELMSFORD 0.8 SSW, NY US",41.042666,-73.822799,90.5
2018-01-01,GHCND:USC00066655,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,"PUTNAM LAKE, CT US",41.0825,-73.6386,91.4
2018-01-01,GHCND:USC00280907,,,,,,,,0.0,0.0,0.0,,-10.6,-15.6,-15.6,,,,,,,,,,,,,,,,,"BOONTON 1 SE, NJ US",40.89174,-74.39635,85.3
2018-01-01,GHCND:USC00281335,,,,,,,,0.0,0.0,,,-7.8,-15.0,,,,,,,,,,,,,,,,,,"CANOE BROOK, NJ US",40.7436,-74.3539,54.9
2018-01-01,GHCND:USC00283704,,,,,,,,0.0,0.0,0.0,,-7.2,-15.0,-15.0,,,,,,,,,,,,,,,,,"HARRISON, NJ US",40.7481,-74.152,7.3
2018-01-01,GHCND:USC00289187,,,,,,,,0.0,0.0,25.0,,,-22.2,,,,,,,,,,,,,,,,,,"WANAQUE RAYMOND DAM, NJ US",41.0444,-74.2933,74.7
2018-01-01,GHCND:USC00301309,,,,,,,,0.0,0.0,0.0,,-9.4,-14.4,-14.4,,,,,,,,,,,,,,,,,"CENTERPORT, NY US",40.88345,-73.37309,9.1
2018-01-01,GHCND:USC00308577,,,,,,,,0.0,0.0,0.0,,-9.4,-15.0,-14.4,,,,,,,,,,,,,,,,,"SYOSSET, NY US",40.8216,-73.4908,80.8
2018-01-01,GHCND:USW00014732,,,,7.6,,,,0.0,0.0,0.0,-10.8,-7.1,-13.2,,,320.0,300.0,,,11.2,14.3,,,,,,,,,,"LAGUARDIA AIRPORT, NY US",40.77944,-73.88035,3.4
2018-01-01,GHCND:USW00014734,,,,5.7,,,,0.0,0.0,0.0,-11.1,-6.6,-14.3,,,330.0,320.0,,,10.7,14.3,,,,,,,,,,"NEWARK LIBERTY INTERNATIONAL AIRPORT, NJ US",40.6825,-74.1694,2.1
2018-01-01,GHCND:USW00054743,,,,2.9,,,1011.0,0.0,,,,-7.7,-16.0,,,320.0,320.0,,,7.6,11.2,,,,,,,,,,"CALDWELL ESSEX CO AIRPORT, NJ US",40.87639,-74.28306,52.7
2018-01-01,GHCND:USW00054787,,,,3.8,,,1245.0,0.0,,,,-7.7,-14.3,,,330.0,310.0,,,7.2,10.3,,,,,,,,,,"FARMINGDALE REPUBLIC AIRPORT, NY US",40.73417,-73.41694,24.7
2018-01-01,GHCND:USW00094728,,,,3.5,,,,0.0,0.0,0.0,,-7.1,-13.8,,,300.0,300.0,,,6.7,11.2,,,,,,,,,,"NY CITY CENTRAL PARK, NY US",40.77898,-73.96925,42.7
2018-01-01,GHCND:USW00094741,,,,5.6,,,947.0,0.0,,,,-6.6,-14.3,,,310.0,320.0,,,9.4,13.4,,,,,,,,,,"TETERBORO AIRPORT, NJ US",40.85,-74.06139,2.7
2018-01-01,GHCND:USW00094745,,,,5.7,,,1455.0,0.0,,,,-8.8,-15.5,,,290.0,310.0,,,9.8,13.4,,,,,,,,,,"WESTCHESTER CO AIRPORT, NY US",41.06236,-73.70463,111.9
2018-01-01,GHCND:USW00094789,,,,7.9,,,,0.0,0.0,0.0,-11.3,-7.7,-13.8,,,310.0,310.0,,,13.0,15.2,,,,,,,,,,"JFK INTERNATIONAL AIRPORT, NY US",40.63915,-73.76401,3.4
2018-01-02,GHCND:US1CTFR0039,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,"STAMFORD 4.2 S, CT US",41.0377883911133,-73.5681762695313,6.4
2018-01-02,GHCND:US1NJBG0015,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"NORTH ARLINGTON 0.7 WNW, NJ US",40.791492,-74.13979,17.7
2018-01-02,GHCND:US1NJBG0017,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,"GLEN ROCK 0.7 SSE, NJ US",40.95109,-74.118264,28.0
2018-01-02,GHCND:US1NJBG0018,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,"PALISADES PARK 0.2 WNW, NJ US",40.848094,-74.000247,21.3
2018-01-02,GHCND:US1NJBG0023,,,,,,,,0.0,0.0,25.0,,,,,,,,,,,,,,,,,,,,,"OAKLAND 0.9 SSE, NJ US",41.01905,-74.233383,149.4
2018-01-02,GHCND:US1NJBG0030,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,"OAKLAND 1.0 ESE, NJ US",41.025324,-74.223632,109.4
2018-01-02,GHCND:US1NJBG0039,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,"RIVER EDGE 0.4 NNE, NJ US",40.932076,-74.035372,23.2
2018-01-02,GHCND:US1NJBG0044,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,"TENAFLY 1.6 NW, NJ US",40.93188,-73.97818,43.9
2018-01-02,GHCND:US1NJES0018,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"MAPLEWOOD TWP 0.9 SE, NJ US",40.724466,-74.259542,72.5
2018-01-02,GHCND:US1NJES0024,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,"CEDAR GROVE TWP 0.4 W, NJ US",40.855695,-74.235564,108.5
2018-01-02,GHCND:US1NJHD0002,,,,,,,,0.0,0.0,13.0,,,,,,,,,,,,,,,,,,,,,"KEARNY 1.7 NW, NJ US",40.772892,-74.140926,29.0
2018-01-02,GHCND:US1NJMD0043,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"WOODBRIDGE TWP 1.1 ESE, NJ US",40.5554,-74.274,4.0
2018-01-02,GHCND:US1NJMD0045,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"WOODBRIDGE TWP 1.1 NNE, NJ US",40.5759108,-74.2846869,21.6
2018-01-02,GHCND:US1NJMD0062,,,,,,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,,,,,,,"OLD BRIDGE TWP 5.1 NE, NJ US",40.45623,-74.241325,7.6
2018-01-02,GHCND:US1NJMD0066,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,"SOUTH PLAINFIELD 0.7 NNE, NJ US",40.583541,-74.410003,22.3
2018-01-02,GHCND:US1NJMD0070,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"NEW BRUNSWICK 1.8 E, NJ US",40.484742,-74.41031,19.2
2018-01-02,GHCND:US1NJMD0073,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,"CARTERET 0.6 WSW, NJ US",40.581743,-74.238792,9.1
2018-01-02,GHCND:US1NJMD0074,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,"HIGHLAND PARK 0.5 E, NJ US",40.50039,-74.41942,36.3
2018-01-02,GHCND:US1NJMN0010,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"EATONTOWN 1.2 NE, NJ US",40.3034,-74.040017,12.8
2018-01-02,GHCND:US1NJMN0012,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"COLTS NECK TWP 2.4 NW, NJ US",40.320403,-74.19268,32.6
2018-01-02,GHCND:US1NJMN0048,,,,,,,,0.0,0.0,13.0,,,,,,,,,,,,,,,,,,,,,"LONG BRANCH 0.5 W, NJ US",40.296952,-74.00151,7.9
2018-01-02,GHCND:US1NJMN0069,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"LONG BRANCH 1.7 SSW, NJ US",40.2753677368164,-74.0060272216797,9.4
2018-01-02,GHCND:US1NJMS0011,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"BOONTON 0.6 NW, NJ US",40.909623,-74.414145,188.7
2018-01-02,GHCND:US1NJMS0040,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"CHATHAM 0.6 NW, NJ US",40.748131,-74.390791,58.8
2018-01-02,GHCND:US1NJMS0049,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,"FLORHAM PARK 0.2 WNW, NJ US",40.77797,-74.3992,62.5
2018-01-02,GHCND:US1NJMS0059,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,"MADISON 0.8 WSW, NJ US",40.7523914426565,-74.4297203421593,108.8
2018-01-02,GHCND:US1NJMS0089,,,,,,,,0.0,0.0,13.0,,,,,,,,,0.0,,,,,,,,,,,,"PARSIPPANY TROY HILLS TWP 1.3 NE, NJ US",40.871646,-74.405465,103.6
2018-01-02,GHCND:US1NJPS0005,,,,,,,,0.0,0.0,10.0,,,,,,,,,0.0,,,,,,,,,,,,"HAWTHORNE 0.4 S, NJ US",40.951692,-74.157339,24.4
2018-01-02,GHCND:US1NJPS0012,,,,,,,,0.0,0.0,13.0,,,,,,,,,,,,,,,,,,,,,"LITTLE FALLS TWP 0.5 WNW, NJ US",40.879633,-74.227041,58.5
